route,methods,middleware,guard,limiter,zod,db_client,csrf,cron_auth,lines
"/api/auth/password","POST","PUBLIC-allowlist","inline getUser()","passwordResetLimiter","zod","anon/RLS","","","112"
"/api/auth/sessions","GET|POST","PUBLIC-allowlist","inline getUser()","","zod","anon/RLS","","","91"
"/api/auth/signin","POST","PUBLIC-allowlist","NONE","loginLimiter","zod","service-role","","","232"
"/api/auth/signout","POST","PUBLIC-allowlist","NONE","","","anon/RLS","","","21"
"/api/auth/signup","POST","PUBLIC-allowlist","NONE","signupLimiter","zod","service-role","","","441"
"/api/auth/user","GET","PUBLIC-allowlist","inline getUser()","","","anon/RLS","","","39"
"/api/cron/push-reminders","GET|POST","PUBLIC-allowlist","NONE","","","service-role","","CRON_SECRET","300"
"/api/csp-report","POST|OPTIONS","PUBLIC-allowlist","NONE","","","","","","184"
"/api/deadlines/[id]","PUT|DELETE","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","139"
"/api/deadlines","GET|POST","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","180"
"/api/events/[id]","PUT|DELETE","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","151"
"/api/events","GET|POST","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","168"
"/api/gamification/award-xp","POST","deny-by-default","requireAuth","apiLimiter","zod","anon/RLS","via guard","","286"
"/api/gamification","GET|POST","deny-by-default","requireAuth","apiLimiter","","anon/RLS","via guard","","359"
"/api/health","GET","PUBLIC-allowlist","NONE","","","service-role","","","80"
"/api/maps/dev-pin","POST","PUBLIC-allowlist","NONE","","","","","","84"
"/api/maps/place-details","POST","PUBLIC-allowlist","NONE","apiLimiter","zod","","","","141"
"/api/maps/place-search","POST","PUBLIC-allowlist","NONE","apiLimiter","zod","","","","161"
"/api/maps/routes","POST","PUBLIC-allowlist","NONE","apiLimiter","zod","","","","337"
"/api/navigate","POST","deny-by-default","requireAuth","apiLimiter","","","via guard","","387"
"/api/notifications/[id]","GET|PUT|PATCH|DELETE","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","176"
"/api/notifications/mark-all-read","PUT","deny-by-default","requireAuthWithRateLimit","","","anon/RLS","via guard","","35"
"/api/notifications","GET|DELETE|POST","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","197"
"/api/profiles","GET|PUT|DELETE","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","185"
"/api/push/subscription","POST|DELETE","deny-by-default","requireAuthWithRateLimit","","zod","service-role","via guard","","125"
"/api/security/check-password-breach","POST","deny-by-default","requireAuth","passwordBreachLimiter","","","via guard","","84"
"/api/security/rate-limit/cleanup","GET|POST","PUBLIC-allowlist","NONE","","","service-role","","CRON_SECRET","49"
"/api/security/scan-headers","POST","deny-by-default","inline getUser()","securityScanLimiter","","anon/RLS","","","227"
"/api/sync","POST","deny-by-default","inline getUser()","mutationLimiter","zod","anon/RLS","","","282"
"/api/todos/[id]","PUT|DELETE","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","170"
"/api/todos","GET|POST","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","156"
"/api/units/[id]","PUT|DELETE","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","393"
"/api/units","GET|POST","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","393"
"/api/units/sync","POST","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","117"
"/api/user-preferences","GET|PUT","deny-by-default","requireAuthWithRateLimit","","zod","anon/RLS","via guard","","141"
"/api/weather","GET","PUBLIC-allowlist","NONE","apiLimiter","zod","","","","168"
"/api/webauthn/authenticate/options","POST","PUBLIC-allowlist","NONE","webauthnAuthLimiter","zod","service-role","","","129"
"/api/webauthn/authenticate/verify","POST","PUBLIC-allowlist","NONE","webauthnAuthLimiter","zod","service-role","","","198"
"/api/webauthn/credentials","GET|DELETE","deny-by-default","inline getUser()","webauthnCredentialsLimiter","zod","anon/RLS","","","121"
"/api/webauthn/register/options","POST","deny-by-default","inline getUser()","webauthnRegisterLimiter","zod","anon/RLS","","","106"
"/api/webauthn/register/verify","POST","deny-by-default","inline getUser()","webauthnRegisterLimiter","zod","anon/RLS","","","149"
"/auth/callback/recovery","GET","page-route","NONE","","","anon/RLS","","","45"
"/auth/callback","GET","page-route","NONE","","","anon/RLS","","","193"
"/auth/confirm","GET","page-route","NONE","","","anon/RLS","","","56"
